def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
<i128 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i128 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i16 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i16 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i32 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i32 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i64 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i64 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i8 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i8 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<isize as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<isize as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u128 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u128 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u16 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u16 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u32 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u32 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u64 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u64 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u8 as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u8 as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<usize as std::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<usize as std::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
std::cmp::max::<i128>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<i16>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<i32>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<i64>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<i8>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<isize>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<u128>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<u16>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<u32>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<u64>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<u8>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::max::<usize>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<i128>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<i16>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<i32>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<i64>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<i8>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<isize>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<u128>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<u16>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<u32>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<u64>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<u8>	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::cmp::min::<usize>	FULLY_FAITHFUL	true	true	true	true	true	false	true
