def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
<BigEndian as ByteOrder>::read_u128	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_u128_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_u16	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_u16_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_u32	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_u32_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_u64	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_u64_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_uint	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::read_uint128	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u128	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u128_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u16	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u16_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u32	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u32_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u64	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_u64_into	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_uint	SHAPE_GAP	false	false	false	false	false	false	false
<BigEndian as ByteOrder>::write_uint128	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u128	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u128_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u16	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u16_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u32	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u32_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u64	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_u64_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_uint	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::read_uint128	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u128	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u128_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u16	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u16_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u32	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u32_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u64	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_u64_into	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_uint	SHAPE_GAP	false	false	false	false	false	false	false
<LittleEndian as ByteOrder>::write_uint128	SHAPE_GAP	false	false	false	false	false	false	false
