def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
_64::<impl From<i16> for i8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i16> for u8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i32> for i16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i32> for i8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i32> for u16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i32> for u8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i64> for i16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i64> for i32>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i64> for i8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i64> for u16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i64> for u32>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<i64> for u8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<isize> for i16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<isize> for i32>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<isize> for i8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<isize> for u16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<isize> for u32>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_64::<impl From<isize> for u8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for i16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for i32>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for i64>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for i8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for isize>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for u16>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for u32>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for u64>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for u8>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
_x128::<impl From<i128> for usize>::cast	FULLY_FAITHFUL	true	true	false	false	false	false	true
