def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
<i32 as core::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i32 as core::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i64 as core::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<i64 as core::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u8 as core::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<u8 as core::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
<usize as core::cmp::Ord>::max	FULLY_FAITHFUL	true	true	false	false	false	false	true
<usize as core::cmp::Ord>::min	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::cmp::impls::<impl core::cmp::PartialOrd for i32>::lt	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::cmp::impls::<impl core::cmp::PartialOrd for i64>::lt	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::cmp::impls::<impl core::cmp::PartialOrd for u8>::lt	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::cmp::impls::<impl core::cmp::PartialOrd for usize>::lt	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::cmp::max::<i32>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::cmp::max::<i64>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::cmp::max::<u8>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::cmp::max::<usize>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::cmp::min::<i32>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::cmp::min::<i64>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::cmp::min::<u8>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::cmp::min::<usize>	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::num::<impl i32>::saturating_add	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::num::<impl i32>::saturating_sub	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::num::<impl i64>::saturating_add	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::num::<impl i64>::saturating_sub	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::num::<impl u8>::saturating_add	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::num::<impl u8>::saturating_sub	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::num::<impl usize>::saturating_add	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::num::<impl usize>::saturating_sub	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::clamp_mm_i32	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::clamp_mm_i64	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::clamp_mm_u8	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::clamp_mm_usize	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::max_min_i32	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::max_min_i64	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::max_min_u8	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::max_min_usize	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::min_max_i32	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::min_max_i64	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::min_max_u8	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::min_max_usize	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::sat_add_sub_i32	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::sat_add_sub_i64	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::sat_add_sub_u8	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::sat_add_sub_usize	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::wrap_add_sub_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::wrap_add_sub_u8	SHAPE_GAP	false	false	false	false	false	false	false
