def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
std::intrinsics::cold_path	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl i32>::checked_add	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl i32>::overflowing_add	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::num::<impl i32>::saturating_add	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl i32>::saturating_sub	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl i32>::wrapping_add	SAFETY_GAP	false	false	true	false	false	false	false
core::num::<impl i32>::wrapping_mul	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl i32>::wrapping_sub	SAFETY_GAP	false	false	true	false	false	false	false
core::num::<impl u8>::checked_add	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl u8>::overflowing_add	FULLY_FAITHFUL	true	true	true	true	true	false	true
core::num::<impl u8>::saturating_add	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl u8>::saturating_sub	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl u8>::wrapping_add	SAFETY_GAP	false	false	true	false	false	false	false
core::num::<impl u8>::wrapping_mul	SHAPE_GAP	false	false	false	false	false	false	false
core::num::<impl u8>::wrapping_sub	SAFETY_GAP	false	false	true	false	false	false	false
std::option::Option::<i32>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
std::option::Option::<u8>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
w_i32_checked_add_is_some	SHAPE_GAP	false	false	false	false	false	false	false
w_i32_overflowing_add_0	SHAPE_GAP	false	false	false	false	false	false	false
w_i32_saturating_add	SHAPE_GAP	false	false	false	false	false	false	false
w_i32_saturating_sub	SHAPE_GAP	false	false	false	false	false	false	false
w_i32_wrapping_add	SHAPE_GAP	false	false	false	false	false	false	false
w_i32_wrapping_mul	SHAPE_GAP	false	false	false	false	false	false	false
w_i32_wrapping_sub	SHAPE_GAP	false	false	false	false	false	false	false
w_u8_checked_add_is_some	SHAPE_GAP	false	false	false	false	false	false	false
w_u8_overflowing_add_0	SHAPE_GAP	false	false	false	false	false	false	false
w_u8_saturating_add	SHAPE_GAP	false	false	false	false	false	false	false
w_u8_saturating_sub	SHAPE_GAP	false	false	false	false	false	false	false
w_u8_wrapping_add	SHAPE_GAP	false	false	false	false	false	false	false
w_u8_wrapping_mul	SHAPE_GAP	false	false	false	false	false	false	false
w_u8_wrapping_sub	SHAPE_GAP	false	false	false	false	false	false	false
