def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
std::option::Option::<i128>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
mcall_opt_is_some_i128	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i32>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
mcall_opt_is_some_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<u64>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
mcall_opt_is_some_u64	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<usize>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
mcall_opt_is_some_usize	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i128>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_i128	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i16>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_i16	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i32>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i64>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_i64	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i8>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_i8	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<isize>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_isize	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<u128>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_u128	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<u16>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_u16	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<u32>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_u32	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<u64>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_u64	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<u8>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<usize>::is_none	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_none_usize	FULLY_FAITHFUL	true	true	true	true	true	false	true
opt_is_some_i128	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i16>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_some_i16	FULLY_FAITHFUL	true	true	true	true	true	false	true
opt_is_some_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i64>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
opt_is_some_i64	FULLY_FAITHFUL	true	true	true	true	true	false	true
std::option::Option::<i8>::is_some	FULLY_FAITHFUL	false	false	true	true	true	false	true
