def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
core::option::Option::<i32>::and::<i32>	SHAPE_GAP	false	false	false	false	false	false	false
main::and_then_pos_i32::{closure#0}	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::option::Option::<i32>::and_then::<i32, {closure@main.rs:32:16: 32:19}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
main::filter_nonzero_i32::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<i32>::filter::<{closure@main.rs:42:14: 42:17}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
main::is_some_and_pos_i32::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<i32>::is_some_and::<{closure@main.rs:82:19: 82:22}>	SHAPE_GAP	false	false	false	false	false	false	false
main::map_and3_i32::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<i32>::map::<i32, {closure@main.rs:12:11: 12:14}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
main::map_or1_i32::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<i32>::map::<i32, {closure@main.rs:22:11: 22:14}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::option::Option::<i32>::or	SHAPE_GAP	false	false	false	false	false	false	false
core::option::Option::<i32>::xor	SHAPE_GAP	false	false	false	false	false	false	false
core::option::Option::<u8>::and::<u8>	SHAPE_GAP	false	false	false	false	false	false	false
main::and_then_pos_u8::{closure#0}	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::option::Option::<u8>::and_then::<u8, {closure@main.rs:27:16: 27:19}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
main::filter_nonzero_u8::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<u8>::filter::<{closure@main.rs:37:14: 37:17}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
main::is_some_and_pos_u8::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<u8>::is_some_and::<{closure@main.rs:77:19: 77:22}>	SHAPE_GAP	false	false	false	false	false	false	false
main::map_or1_u8::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<u8>::map::<u8, {closure@main.rs:17:11: 17:14}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
main::map_and3_u8::{closure#0}	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::option::Option::<u8>::map::<u8, {closure@main.rs:7:11: 7:14}>	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::option::Option::<u8>::or	SHAPE_GAP	false	false	false	false	false	false	false
core::option::Option::<u8>::xor	SHAPE_GAP	false	false	false	false	false	false	false
main::and_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::and_then_pos_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::and_then_pos_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::and_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::filter_nonzero_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::filter_nonzero_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::is_some_and_pos_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::is_some_and_pos_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::map_and3_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::map_and3_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::map_or1_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::map_or1_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::or_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::or_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::xor_i32	SHAPE_GAP	false	false	false	false	false	false	false
main::xor_u8	SHAPE_GAP	false	false	false	false	false	false	false
