def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
core::result::Result::<i128, u32>::is_err	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<i128, u32>::is_ok	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<i16, i32>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<i16, u8>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<i32, i64>::is_err	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<i32, i64>::is_ok	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<i32, u8>::err	SHAPE_GAP	false	false	false	false	false	false	false
core::result::Result::<i32, u8>::ok	SHAPE_GAP	false	false	false	false	false	false	false
core::result::Result::<i64, i32>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<i64, u8>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<i8, i32>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<i8, u8>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<isize, i32>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<isize, u8>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<u128, i32>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<u128, u8>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<u16, i32>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<u16, isize>::is_err	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<u16, isize>::is_ok	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<u16, u8>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<u32, i32>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<u32, u8>::unwrap_or	FULLY_FAITHFUL	true	true	false	false	false	false	true
core::result::Result::<u64, i16>::err	SHAPE_GAP	false	false	false	false	false	false	false
core::result::Result::<u64, i16>::ok	SHAPE_GAP	false	false	false	false	false	false	false
core::result::Result::<u64, u16>::is_err	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<u64, u16>::is_ok	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<u8, u8>::is_err	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<u8, u8>::is_ok	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<usize, i64>::err	SHAPE_GAP	false	false	false	false	false	false	false
core::result::Result::<usize, i64>::ok	SHAPE_GAP	false	false	false	false	false	false	false
core::result::Result::<usize, i8>::is_err	FULLY_FAITHFUL	false	false	true	true	true	false	true
core::result::Result::<usize, i8>::is_ok	FULLY_FAITHFUL	false	false	true	true	true	false	true
main::err_i32_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::err_u64_i16	SHAPE_GAP	false	false	false	false	false	false	false
main::err_usize_i64	SHAPE_GAP	false	false	false	false	false	false	false
main::iserr_i128_u32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::iserr_i32_i64	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::iserr_u16_isize	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::iserr_u64_u16	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::iserr_u8_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::iserr_usize_i8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::isok_i128_u32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::isok_i32_i64	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::isok_u16_isize	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::isok_u64_u16	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::isok_u8_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::isok_usize_i8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::ok_i32_u8	SHAPE_GAP	false	false	false	false	false	false	false
main::ok_u64_i16	SHAPE_GAP	false	false	false	false	false	false	false
main::ok_usize_i64	SHAPE_GAP	false	false	false	false	false	false	false
main::uo_i16_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_i16_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_i64_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_i64_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_i8_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_i8_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_isize_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_isize_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_u128_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_u128_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_u16_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_u16_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_u32_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uo_u32_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uom_i64_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uom_i8_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uom_isize_i32	FULLY_FAITHFUL	true	true	true	true	true	false	true
main::uom_u32_u8	FULLY_FAITHFUL	true	true	true	true	true	false	true
