def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful
box_inner	SHAPE_GAP	false	false	false	false	false	false	false
bump_i32	SAFETY_GAP	false	false	true	false	false	false	false
fbits	FULLY_FAITHFUL	true	true	true	true	true	false	true
id_u32	FULLY_FAITHFUL	true	true	true	true	true	false	true
index	SHAPE_GAP	false	false	false	false	false	false	false
negate	SHAPE_GAP	false	false	false	false	false	false	false
pt_dx	SHAPE_GAP	false	false	false	false	false	false	false
pt_sum	SHAPE_GAP	false	false	false	false	false	false	false
sadd	SAFETY_GAP	false	false	true	false	false	false	false
sdiv	SHAPE_GAP	false	false	false	false	false	false	false
shift_l	SAFETY_GAP	false	false	true	false	false	false	false
ssub	SAFETY_GAP	false	false	true	false	false	false	false
uadd	SAFETY_GAP	false	false	true	false	false	false	false
udiv	SHAPE_GAP	false	false	false	false	false	false	false
umul	SHAPE_GAP	false	false	false	false	false	false	false
usub	SAFETY_GAP	false	false	true	false	false	false	false
vec_len_idx	SHAPE_GAP	false	false	false	false	false	false	false
wrap_count	SHAPE_GAP	false	false	false	false	false	false	false
