def_path	verdict	lane	kernel_rejected	safety_obligations	safety_discharged	wall
num::<impl u8>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl u16>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl u32>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl u64>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i8>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i16>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i32>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i64>::count_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl u8>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u16>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u32>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u64>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl i8>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i16>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i32>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i64>::leading_zeros	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl u8>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u16>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u32>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u64>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl i8>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i16>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i32>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i64>::swap_bytes	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl u8>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u16>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u32>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl u64>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	2	1	-
num::<impl i8>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i16>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i32>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	1	1	-
num::<impl i64>::reverse_bits	FULLY_FAITHFUL	via_mirsem	0	1	1	-
