def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful	total	inhabited	type_grounded_not_inhabited	not_grounded	kernel_rejected	safety_obligations	safety_discharged	census_fully_faithful	via_trustir	mirsem_fallback	declined	expr_fold_decline	wall
cmp::min	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
cmp::max	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
cmp::Ord::min	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
cmp::Ord::max	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
cmp::Ord::clamp	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	1	0	0	0	0	0	-	W16
cmp::min_by	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
cmp::max_by	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
cmp::min_by_key	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
cmp::max_by_key	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	0	0	0	0	0	0	-	W16
<num::nonzero::NonZero<T> as cmp::Ord>::min	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	1	0	0	0	0	0	-	W16
<num::nonzero::NonZero<T> as cmp::Ord>::max	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	1	0	0	0	0	0	-	W16
<num::nonzero::NonZero<T> as cmp::Ord>::clamp	SHAPE_GAP	false	false	false	false	false	false	false	1	0	0	1	0	1	0	0	0	0	0	-	W16
