def_path	cluster_tag	via_ir_shape	via_ir_safety	via_mirsem_shape	via_mirsem_sl_safety_discharged	via_mirsem_call_requires	via_mirsem_loop_full	fully_faithful	kernel_rejected	safety_obligations	safety_discharged	via_trustir	mirsem_fallback	declined
forgery::B1_fake_ctpop_defpath	SHAPE_GAP	false	false	false	false	false	false	false	0	1	0	0	0	0
forgery::B2_wrong_arity_ctpop	SHAPE_GAP	false	false	false	false	false	false	false	0	1	0	0	0	0
forgery::B3_nontotal_cttz_nonzero	SHAPE_GAP	false	false	false	false	false	false	false	0	1	0	0	0	0
forgery::B4_foreign_ctpop	SHAPE_GAP	false	false	false	false	false	false	false	0	2	0	0	0	0
forgery::B5_unmodeled_intrinsic_transmute	SHAPE_GAP	false	false	false	false	false	false	false	0	1	0	0	0	0
forgery::F1_dangling_local	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::F2_type_lie_bool_from_use	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::F3_div_by_zero	SHAPE_GAP	false	false	false	false	false	false	false	0	2	1	0	0	0
forgery::F4_opaque_call	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::F5_unchecked_overflow_add	SAFETY_GAP	false	false	true	false	false	false	false	0	1	0	0	0	0
forgery::F6_const_true_control	FULLY_FAITHFUL	false	false	true	true	true	false	true	0	0	0	0	1	0
forgery::G1_signum_cmp_rhs_nonzero	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::G2_signum_wrong_disc_mapping	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::G3_signum_non_ordering_enum	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::G4_signum_flipped_operands	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::G5_signum_unsigned_cast_dest	SHAPE_GAP	false	false	false	false	false	false	false	0	0	0	0	0	0
forgery::G6_signum_valid_control	FULLY_FAITHFUL	false	false	true	true	true	false	true	0	0	0	0	1	0
